飛勢城趾,〒024-0104　岩手県北上市二子町観光,奥州仕置で滅亡した和賀氏の居城跡であり、現在は八幡神社と公園になっています。　堀、石段が残り、北上川や奥羽の連山を一望に収めることができます。
岩崎城址,〒024-0321　岩手県北上市和賀町岩崎観光,岩崎城跡にあった旧岩崎公民館は、3.11の震災被害により、取り壊され現在は、「岩崎城址舞楽殿」となっています。旧岩崎公民館で展示していた資料の一部については、埋蔵文化財センター、博物館及び新岩崎地区交流センターで保管しています。■□■□■□■□■□■□■□■□■□■□■□■□■□■□■□■□■□■□岩崎城は和賀氏（中世の豪族）が最後に籠った城で、和賀川と夏油川にはさまれた台地上にあります。岩崎城が作られた時期は、正確にはわかりませんが南北朝時代（1336年〜1392年）にはすでにあったと思われます。1592年（天正20年）には、豊臣秀吉の命令により南部氏によって破壊されました。1600年（慶長5年）、和賀忠親は旧領地を奪い返すため一揆を起こしますが失敗し、ここ岩崎城に籠もり南部勢と激戦になりましたが翌年4月、城はついに陥落しました。
秀衡街道,岩手県北上市,秀衡街道とは、陸奥国・平泉と出羽国・横手を結んでいた道のことで、この道は「中尊寺金色堂」で知られる奥州藤原氏の三代目・秀衡の時代に金の輸送に使われていました。このことから「黄金の道」とも称され、鷲之巣金山や畝倉山、明戸山などの金山跡が残されています。平泉〜北上〜西和賀〜横手のおよそ80kmある道の中でも、人馬の事故が絶えなかった難所、和賀の「仙人峠」に藤原秀衡が先祖の霊を仙人権現(現 久那斗神社)として鎮座したと伝えられています。久那斗神社の里宮が秀衡街道の東西で祀られており、東の里宮は、北上市和賀町岩沢の多聞院伊澤家（国指定重要文化財）の久那斗神社、西の里宮は、横手市山内筏の筏隊山神社（筏の仙人様）です。両里宮には、奥州藤原氏のシンボルである「中尊寺ハス」が株分けされています。神木、樹齢約900年の「姥杉」は峠を越える目印となり行き交う人々を見守ってきました。※「姥杉」は、「森の巨人たち百選」に選ばれています。
岩手大学工学部附属金型技術研究センター,〒024-0051　岩手県北上市相去町山田2-35観光,先端技術の研究開発と人材教育を行っています。研究開発は、主に地域企業との共同研究や自主研究、または地域企業と具体的商品開発を行っています。人材教育は、地域技術者への先端技術講義・技術講演会・最新の工作機械を使用しての実習などを行っています。また、岩手大学大学院金型鋳造工学専攻の学生に対する授業や実習も行っています。
北上市基盤技術支援センター,〒024-0051　岩手県北上市相去町山田2-35観光,北上地域のものづくり産業を支援する施設で、工業製品などの測定、試験、評価のための各種精密測定機器を備え、企業の皆様に利用していただいている施設です。 ≪主な利用施設≫(1)精密測定室----三次元測定機、真円度測定機、表面形状測定機、測定顕微鏡(2)環境試験室----恒温恒湿室、電子顕微鏡、デジタルスコープ、蛍光Ｘ線分析装置(3)CADセンター---CAD/CAMシステム(4)研修会議室----セミナーや研修会などに利用されています
株式会社東北イノアック　北上工場,〒024-0051　岩手県北上市相去町山根梨の木43-137観光,当社北上工場は、宮城県の２工場に続き、自動車関連製造工場として平成１９年に設立された新しい工場です。６台の成形機で１００種類以上の製品を製造し、塗装、加工、出荷までの工程を見学できます。先進設備やロボットによる製造、熟練された人の手による細かい作業技術、そしてトヨタかんばん方式で出荷されるまで、工場全体一貫ライン工程することで無駄な動線動作とスペースを排除しています。信頼をキーワードにお客様満足のさらなる向上を基本方針とし、かつ地域社会に貢献するよう努めています。
株式会社ケー・アイ・ケー,〒024-0051　岩手県北上市相去町山根梨の木43-74観光,当社はトヨタグループトヨタ自動車東日本の一翼を担う重要な会社であります。　当地域に於いては、自動車部品製造の中核メーカーとして、大きく発展・成長することができ、業容の安定・拡大そして何よりも雇用の維持・拡大を大きな使命と心得、社業に努めてまいりました。　現在はI-MOG-K（アイモック※１）活動を中心として今よりもっと良い方法が必ずあるという発想のもと改善に取り組み、競争力のある&#034;ものづくり&#034;をこの地域で実現させるべく邁進していく考えでおります。 ※1　I-MOG-K　アイモック　I=今より　MO=もっと　G=Good(いい方法)　K=必ずある
岩手河西株式会社,〒024-0051　岩手県北上市相去町山根梨の木43-130観光,弊社は、河西工業(株)が岩手県進出に伴い現地法人として設立した会社であります。平成１８年８月から操業を開始し自動車内装部品を製造しております。河西工業グループは、国内に２工場、８つの子会社、海外は米国、英国、メキシコ、中国、タイなどに進出しているグローバル企業であります。弊社は、内装メーカーとして安全且つ快適であることが最大の機能である、という創業以来の信条で「社会の信用を・企業の繁栄を・相互の幸福を」という社訓の基に日々取り組んでおります。
岩手森紙業株式会社　北上事業所,〒024-0002　岩手県北上市北工業団地2-20観光,当事業所は段ボール・包装紙・製紙の３部門を事業の柱とする包装資材の総合メーカー【森紙業グループ】の拠点工場として、北上市に昭和４６年１０月に設立しました。リサイクルの優等生といわれる段ボールは、エコロジーを始め環境に優しい製品といえます。お客様には馴染みのある段ボールケースを最新鋭の製凾機による生産工程を見学することができます。地域に根ざし、地域の産業の発展に当事業所は総力を結集して、貢献してまいります。
北上市のものづくり観光(産業観光)とは,岩手県北上市,北上市は、昭和30年代、岩手県内ではもっとも早い時期から、本格的に工業団地開発や企業誘致、地元企業の振興に取り組んできた結果、県内上位の工業集積を誇る都市に発展しました。パルプや鋳物・金型、そして、最先端をいく半導体といった多くの企業の立地に成功しています。現在でも産業集積の高い北上川流域地域の中心にあるという好条件を生かし、産業団地を整備、高付加価値型産業、研究開発型企業といった最先端の企業の誘致を進めています。 『親子でも見学できる企業ガイドブック&#034;北上市のものづくり観光&#034;』では、北上市内において、「ものづくり」の現場を見学できる工場、事業所等を紹介しております。製品の種類も豊富で、大人から子供まで楽しめる内容となっております。より良い「ものづくり」のため、日々、研究・努力を重ねる企業の姿をぜひご覧ください。
三菱製紙株式会社　北上事業本部,〒024-0051　岩手県北上市相去町笹長根35観光,岩手県産の広葉樹から、「ナクレ」でおなじみのティッシュペーパー・トイレットペーパーと、世界中で使用されている写真用紙のベースとなる紙を作っています。操業を開始した1965年（昭和40年）以来、岩手県の森林と共存しながら、当社は生産活動を行ってきました。これからも当事業本部は、岩手県の森林資源を適切に維持管理しながら、生産活動を続けて行きます。
株式会社マルサ,〒024-0003　岩手県北上市成田26-83-12観光,当社は、お客様から排出される廃棄物やスクラップなどを収集・管理し、多様なニーズに応え、原料（マテリアル)及び燃料（サーマル）のリサイクル処理に日々取組んでおります。再生された資源は有効に利用され様々な製品の原料となり、わたくしたちの生活に戻っていきます。「和・誠意・努力」の経営理念のもと、安心、迅速、信頼をモットーに産業界をリードし、皆様のパートナーとしてお応え致します。
ピー・エス・コンクリート株式会社北上工場,〒024-0004　岩手県北上市村崎野14-426観光,当工場は、昭和３３年に岩手県誘致第１号として工場建設に着手し、現在、日本工業規格認定取得工場として「よい製品をより安く作る」ことをモットーに製品を製造及び施工しております歴史ある工場です。東京の本社を拠点に、全国には茨城工場、滋賀工場、兵庫工場、水島工場、当工場の５工場があります。製品としましては、橋梁・マクラギ・建築用梁、柱・スノーシェッド等があり、「人と自然が調和する豊かな環境作りに貢献する」の基本理念に基づき、安全・高品質で安価な製品を提供し、社会の永続発展に貢献するよう努めております。
トヨタ紡織東北株式会社　本社・北上工場,〒024-0051　岩手県北上市相去町平林15-13観光,当社は「トヨタ紡織グループ」の一員として東北地区を担当する会社です。北上工場ではシート用ウレタン製造、ドアトリム、フェンダーライナーなどの自動車内装品を生産しています。私たちは北上市に根ざした地元企業として地域の発展に貢献してまいります。
東北日発株式会社,〒024-0334　岩手県北上市和賀町藤根18-25-2観光,東北日発は、世界トップのばねメーカーニッパツグループの一員として自動車産業を中心に、あらゆる産業分野に高品質で魅力のある製品づくりを全力で取組んでおります。　当社では自動車用サスペンション、金型用ダイスプリング、産業・住宅関連ばね、自動車用シートフレームと、あらゆる分野の製品を生産しております。
株式会社東北佐竹製作所,〒024-0032　岩手県北上市川岸1-16-1観光,当社は穀類調製機械のトップメーカー【(株)サタケ】の生産拠点として昭和４３年３月に北上市に設立されました。籾乾燥機、自動選別計量器、籾摺り機、精米機を需要地に近い所で生産することにより、お客様へのよりよいサービスと製品の提供をさせていただいております。私達は大好きな「ものづくり」を通して日本の農業を応援しています。
株式会社西部開発農産,〒024-0335　岩手県北上市和賀町後藤1-333観光,本州最大規模である650ヘクタールを超える面積で米、大豆、麦、そば、キャベツを生産、また肉用牛を繁殖からの一貫経営で180頭肥育しております。　　　　　創業以来、規模拡大、機械化による効率生産体系を進め、現在では播種から収穫後の乾燥調製、低温貯蔵まで一貫した生産管理体系を確立しています。一貫性であるがゆえに安全性を確保していますので、消費者の皆様へ安心・安全なモノをお届け出来ます。
白金運輸株式会社　北上流通加工センター,〒024-0051　岩手県北上市相去町大松沢1-48観光,製紙会社様や飲料メーカー様をはじめ多種多様のお客様の製品を保管・輸送している白金運輸(株)の中で、自動車部品１００％で業務を行っている物流センターです。　自動車部品メーカー様から製品をお預かりし、お隣金ヶ崎町の自動車組立工場・トヨタ自動車東日本様へ自動車部品の納入を行っていますが、トヨタ流の先進的な納入方法に対応しており、世界中のトヨタ工場から見学が絶えません。入庫・保管・出庫といった センターでの物の流れや、『トヨタかんばん方式』を小学生にでも分かりやすく体験できるコーナーなどの見学をご案内しています。
シチズン時計マニュファクチュアリング株式会社　東北北上工場,〒024-0002　岩手県北上市北工業団地2-25観光,腕時計の材料からプレス加工、組立、そして完成時計までを一貫で生産している工場です。部品の製造現場や組立現場を見学することができます。また、時計の歴史を知ることのできるコーナーもあります。　その他にも小学生、中学生を対象とした時計学校も行っており、部品の組込みや電池交換など実際にものづくりを体験することができます。腕時計以外にもその技術を生かし、応用させた表面処理や精密部品の製造等の新事業にも取り組んでいます。
株式会社岩手ヤクルト工場,〒024-0051　岩手県北上市相去町大松沢1-45観光,２００７年（平成１９年）北上市に完成した岩手ヤクルト工場は、先進の設備・施設を整えた世界最新鋭の工場です。徹底した検査、管理体制のもと生産された製品は、北海道から関東エリアまで東日本全域をカバーし、毎日１７０万本出荷されています。また、お客様に「安全・安心を体感していただける工場」として開設当初から工場見学の受け入れを行っており、来場者数は年間２万人以上に及んでいます。 ２０１３年１２月で累計１５万人を達成しております。
岩手東芝エレクトロニクス株式会社,〒024-0002　岩手県北上市北工業団地6-6観光,当社は半導体を製造している東芝グループの会社です。　半導体は、携帯電話、テレビ、パソコン、ゲーム、自動車など私たちの身の回りで数多く使われている色々な製品の中に組み込まれていますが、普段はなかなか目にすることがありません。　当社は、世界に誇る技術力と多彩な製品群で東芝半導体事業を支える生産技術発信基地として、また、地域とともに歩む良き企業市民として事業に取り組んでいます。
北上平和記念展示館,〒024-0334　岩手県北上市和賀町藤根14-147-3観光,"日中戦争や太平洋戦争に出征した農民兵士の7,000通の軍事郵便と戦争体験に関する資料を収集、保存、展示し、その遺憾を回顧しながら歴史的実状を後世に正しく伝えることを目的とした資料館です。"
珊瑚橋,〒024-0043　岩手県北上市立花,北上市内から展勝地に向かう途中、北上川に架かる橋が珊瑚橋（橋長253.8）です。この橋は明治41年、立花村（当時）の高舘徳次郎が私財を投じて造りあげたもので、有料で通行することができました。　当初は木製だった為、完成の翌年に洪水で流失するなど、たびたび流失、架け替えを繰り返し、昭和８年に現在のようなゲルバー橋に架け替えられました。　東京の両国橋や大阪の天満橋と同じ構造であり、夜間照明もあることから、当時は県１・２の名橋と言われました。ここからは、春には見事な桜並木、冬には飛来した白鳥を眺めることができます。
国見山大悲閣展望台,〒024-0041　岩手県北上市稲瀬町観光,標高244ｍの国見山山頂にある展望台です。藤原文化より約２５０年も前に、文化の中心となっていた地でした。頂上には平和大観音像があり、北上・江刺方面をはじめ奥羽・北上山脈が眺望できます。
奥寺堰・ミズバショウの里,岩手県北上市村崎野,北上市飯豊地区に、地域住民により整備された「ミズバショウの里」があります。珍しく平地にミズバショウが咲く場所です。飯豊地区西部の田園地帯にある雑木林の中にあり、江戸時代に灌漑事業のため施行された「旧奥寺堰」跡地に群生しています。ミズバショウの他にもショウジョウバカマ等山野草の花が咲き楽しませてくれます。
仙人峠の姥杉,岩手県北上市和賀町,姥杉は、奥州藤原氏の時代に出羽仙北や西和賀地方から産出した金を平泉に輸送するのに使われていた「秀衡街道」と呼ばれる道にあります。樹齢約900年、樹高約30m、根本周り11.5mあり、大人が７〜８人でやっと手が回る程です。岩手県内でも有数の巨木で、林野庁の「森の巨人たち百選」にも選定されています。
【男山・いこいの森・大堤公園】　しらゆり,岩手県北上市,清楚な美しさに生命力の強さを持つ、しらゆりは北上市の花ともなっています。7月の中旬頃から8月中旬頃が見頃です。
【展勝地・和賀ふれあい広場】　あじさい,岩手県北上市,展勝地と、和賀川右岸の河川敷にある和賀ふれあい広場には、あじさいが植えられており、7月初旬頃から末頃まで綺麗な花を楽しむことができます。
【みちのく民俗村】　桜,〒024-0043　岩手県北上市立花14-59観光,東北最大規模の野外博物館の「みちのく民俗村」には、色も姿も様々な12種の桜が咲きます。早咲き（オオヤマザクラ）〜標準（ソメイヨシノ・エドヒガン等）〜やや遅咲き（ヤマザクラ・ヤエベニシダレ等）〜極遅咲き（ウワミズザクラ）まであり長い間楽しませてくれます。※さくらまつり期間中入場料無料となります。
【展勝地】　桜、ツツジ,〒024-0043　岩手県北上市立花,北上展勝地の桜は大正9年に行われた桜の植栽事業で植えられ、現在展勝地公園約293haに約1万本の桜が植えられています。樹齢90年以上のソメイヨシノが空を被うかのようなトンネルが約2ｋｍ続く桜大路は圧巻です。北上川沿いの桜大路から陣ヶ丘にかけては「ソメイヨシノ」。陣ヶ丘から男山、国見山にかけては「ヤマザクラ」、「カスミザクラ」が植えられています。また、5月中旬頃になると10万株のツツジも咲き始め楽しませてくれます。平成2年、日本さくらの会よりさくらの名所100選に認定され、青森県の弘前・秋田県の角館と並んで「みちのく三大桜名所」の一つに数えられています。
小鳥崎の大カヤ,〒024-0105　岩手県北上市小鳥崎２地割,小鳥崎の大カヤは、北上市の市街地から北東方向およそ3kmの北上川に近い小鳥崎にあります。　根元周囲6m、目通径5.6m、高さ20m余りで、樹齢560年程度と推定され、県下におけるカヤの巨木として代表的なものです。
鳥谷脇の桜,〒024-0331　岩手県北上市和賀町横川目,推定樹齢490年とも言われる鳥谷脇のサクラ（品種：エドヒガン）は、幹周6.5m、高さ16mの大樹です。　私有地内にあり、個人所有物のため、見学する際は近隣への配慮をお願いします。　見頃：４月下旬
ボタン園,〒024-0058　岩手県北上市下鬼柳,和賀川ふれあい広場内に800株植えられています。　見ごろは５月下旬〜６月上旬
岩沢ミズバショウ群生地,〒024-0325　岩手県北上市岩沢地内,展勝地の桜とほぼ同じ時期に見ごろを迎えます。花びらのような白い物は、実際は葉が変形したもので、中央にある円柱状の部分の表面に小さな花が多数ついています。　見頃：４月中旬〜４月下旬
北上ざぜん草の里,〒024-0334　岩手県北上市和賀町藤根,平地には珍しくざぜん草が群生しています。ざぜん草は、本州中部から北の地方の谷間の陰地に生える一見無茎の多年生草本で、葉は根から群がり生え、大きく長柄があります。ざぜん草は、花を咲かせる際に発熱する珍しい植物で、その温度は30℃近くにまで達します。驚くべき事に夜間外気温がマイナスにまで下がっても、ざぜん草の肉穂花序はほぼ25℃近くに保たれます。
全明寺泉,岩手県北上市下江釣子,４００年の歴史を持つ全明寺。豊富な湧水で育った美しい水草と側に咲くあじさいはとても綺麗です。
ぽんぽこ泉,岩手県北上市下江釣子12地割,「ぽんぽこ泉」というのは公募で決まった名称で、もともとは「車屋清水」と呼ばれていました。これは、前の地権者であった高橋家が「車屋」の屋号で呼ばれていたためです。昔は、水車もあったそうです。大きな岩石の間が湧水口となっていて、現在もこんこんと湧き出ています。市指定保存泉のひとつです。
やすらぎの泉,岩手県北上市下江釣子14地割,東屋や木橋が整備され子供たちの水遊び場にもなっています。市指定保存泉のひとつです。
桂の泉,岩手県北上市下江釣子14地割,昔は、地主の屋号が「仁兵ど」であったことから、「仁兵どの清水」と呼ばれていました。桂の大木の根元から湧き出しています。この桂の大木はその昔、旅人がこの泉で喉の渇きをいやし、あまりのおいしさに、桂の枝を刺し、忘れたのが根づいてこのような大樹になったといわれています。市指定保存泉のひとつです。
地蔵流れの泉,岩手県北上市滑田９地割,水田の中に水神様を祀ったお堂があり、そのすぐそばで水が湧いています。昔々、薬師川に流れてきた地蔵様を村の人が拾い上げて水神様としてお堂を建て祀ったといういわれがあります。
新渡戸観音泉,岩手県北上市下江釣子14地割,新渡戸稲造の祖先ゆかりの「人当山新渡戸寺観音堂」の前にあり、新渡戸寺境内南側の杉の大木の下から湧き出ています。市指定保存泉のひとつで、「岩手の名水20選」に選ばれています。
家慶の清水（吹咳大権現）,岩手県北上市下江釣子16地割,市指定保存泉のひとつで、小さな石のほこらが一つあり水神が祀られています。大きな桂の木や綺麗な水の流れに癒されます。この泉の水は、千三百年前、風邪で苦しむ坂上田村麻呂の将兵を救ったといわれています。
長清水,岩手県北上市和賀町藤根27地割,市指定保存泉のひとつで、岩手の名水20選に指定された湧水です。魚の形をした池の底から清水が砂を上げて湧き出しています。「長清水公園」として整備され、地域住民の憩いの場・生活の場となっています。
佐野公園,岩手県北上市下江釣子10地割,池の脇にある植え込みの陰に水源があり、地中から水が湧き出しています。公園として整備されており、季節により変わる景色を楽しめます。
飯島のすず,岩手県北上市和賀町長沼,数多い清水（すず）の中でも、「飯島の清水」は規模も大きく景観的にも優れ、昔ながらの自然環境がよく残されたところです。豊富に湧き出る流路と周辺の湿地には、湧水地特有の植物が数多く見ることができます。
江釣子清水郡,岩手県北上市,北上の江釣子地区は昔から湧水が多く、「清水（すず）」と呼ばれています。湧水が流れ落ちる音が「鈴の音」に聞こえることからそう呼ばれるようになりました。豊富に湧き出す清水は、古くから人々の日常生活に密接に結び付き、利用されてきました。「新渡戸観音清水」は『岩手の名水２０選』に選ばれています。
綱取断層,〒024-0331　岩手県北上市和賀町横川目,JR北上線岩沢駅北東、和賀川中流の石羽根ダムの人造湖北岸に位置する高さ50余メートルの断崖で、新生代新第三紀（千数百万年前）に形成されたものです。砂岩や凝灰岩からなる傾斜した地層の露呈している所から、俗に「断層」と称しています。　　和賀川の侵食や風化によって削り取られ、露出した地層は縞模様のきれいで、またイワシやクジラの化石骨片が発見され、日本列島の誕生が興味深くうかがえます。また、山ツツジや紅葉が湖に映る頃が最も美しいと言われています。
和賀の松島,〒024-0325　岩手県北上市和賀町岩沢８地割,国道107号線を北上市から秋田県方面に向かって行くと、石羽根ダムでせき止められた湖があります。北岸には綱取断層があり、南斜面の岩肌には赤松が見えます。この風景は日本三景の一つ松島の海岸線を連想させるダイナミックな姿であり、「和賀の松島」と呼ばれています。
夏油高原の山歩き,〒024-0322　岩手県北上市和賀町岩崎新田,焼石連峰の一角をなす夏油三山（牛形山、経塚山、駒ケ岳）の登山や、夏油高原でのトレッキングを行うなら夏油高原インタープリター（山の案内人）と行く夏油高原の山歩きがおススメ。手つかずの自然がたっぷりの夏油高原を満喫できること間違いなしです。
夏油高原,岩手県北上市,夏油高原は、四季折々で様々な表情を見せ楽しませてくれるスポットがたくさんあります。新緑・紅葉・温泉・トレッキング・ウィンタースポーツ等、四季を通して自然の壮大さや美しさを体感することができます。
駒ヶ岳,〒024-0322　岩手県北上市和賀町岩崎新田観光,頂上直下に急斜面がある程度で、全体的に迷う心配のない単調な道は、登山入門コースとしておすすめです。　山頂からは早池峰山をはじめとする北上高地、焼石連峰、眼下に広がる北上平野などのダイナミックな眺望が楽しめます。金ケ崎町側からも登山可能です。
経塚山,〒024-0322　岩手県北上市和賀町岩崎新田観光,ブナ、キタゴヨウ、ミズナラの原生林が続くつらい登降の疲れは、「お坪の松」で癒し、イワイチョウの咲く湿地帯を過ぎれば、まもなく山頂のお花畑が待っています。全方位に広がる景色は格別です。　山頂を経由して、焼石岳へも行くことができます。　※焼石岳については　奥州市胆沢総合支所商工観光課　TEL0197-46-2111 FAX0197-46-4455　へ問い合わせを
牛形山,〒024-0322　岩手県北上市和賀町岩崎新田観光,残雪の模様と山頂の形から牛が寝そべっている姿に似ているために名付けられたと言われています。　山頂直下の分岐点から、白っこ森、鷲ヶ森、丸子峠を経由し夏油温泉へ戻るコースもあります。　※6月まで残雪があります。足元に注意しながらお進みください
北上駅観光案内所,〒024-0061　岩手県北上市大通1-1-2 JR北上駅東口観光,観光・交通・物産・宿泊施設案内　等
花巻空港ターミナル,岩手県花巻市東宮野目2-53,すべての基本情報を見る
ヤマザキショップまるろく,〒025-0092　岩手県花巻市大通り1-3-1観光,すべての基本情報を見る
あったかいなはんワンコインツアー,〒025-0001　岩手県花巻市観光,ワンコインで花巻市内を満喫♪レトロジャンボタクシーに乗って、大正時代のロマンに浸りながらのんびりまわりませんか。
ニッポンレンタカー　新花巻駅東口店,〒025-0012　岩手県花巻市胡四王2-1-1観光,すべての基本情報を見る
日産レンタカー　花巻空港店,〒025-0003　岩手県花巻市東宮野目第二割53番地観光,すべての基本情報を見る
タイムズカーレンタル　花巻空港カウンター店,〒025-0003　岩手県花巻市東宮野目2-53観光,すべての基本情報を見る
トヨタレンタリース岩手　花巻空港前店,〒025-0092　岩手県花巻市西宮野目5-493観光,すべての基本情報を見る
ニッポンレンタカー　花巻空港店,〒025-0004　岩手県花巻市東宮野目第二地割53番地観光,すべての基本情報を見る
メディカルスパ　花巻トロン,〒025-0244　岩手県花巻市湯口字松原76-9観光,トロン温浴水は、体の芯から温まり、想像以上の発汗作用をもたらします。体内毒素を出し、体質改善にお役立て下さい。
桜地人館,〒025-0084　岩手県花巻市桜町4丁目14観光,宮沢賢治，高村光太郎，萬鉄五郎作品（絵画）
花巻歴史民俗資料館,〒025-0037　岩手県花巻市太田3-85-1観光,「昔の人の仕事とくらし」をテ-マに，農村・山村・町人コ-ナ-に分けて展示。
伊藤果樹園,岩手県花巻市観光,りんごの木オーナー制度もある果樹園。石鳥谷の恵をご堪能下さい。※収穫体験は要確認
宇津宮果樹園（林檎屋）,〒028-3122　岩手県花巻市石鳥谷町滝田17-9観光,北上山系の果樹農業に恵まれた環境の中、4代にわたってりんご栽培をしている果樹園で、林檎狩りを楽しみませんか。直売所「林檎屋」の営業期間は、9月〜3月です。※収穫体験は要確認
だいわブルーベリー園,〒025-0046　岩手県花巻市鍋倉地森7番地観光,「目に良い」とされるブルーベリー。有機肥料と木酢液による無農薬有機栽培で育てられています。持ち帰りも出来ます（100gあたり200円）。
早池峰観光ぶどう園 藤原ぶどう園,〒028-3201　岩手県花巻市大迫町内川目45-29観光,キャンベルやナイアガラを含む5種類のぶどうが入園料で食べ放題。バーベキューもできます(要予約)。
県民ゴルフ場,〒025-0321　岩手県花巻市金矢第5割地252-1観光,すべての基本情報を見る
平塚・花巻交流の森,〒025-0321　岩手県花巻市金矢第5地割観光,平塚市と花巻市の友好都市締結10周年を記念して、平成10年6月、金矢地区の県立花巻広域公園付近に開設されました。　テントサイトや給水・炊事施設を備えたキャンプ場が整備されているほか、森の中にはたくさんの種類の樹木が植樹されており、森林浴や自然探索ができる遊歩道や水辺もあります。
杜氏の里パークゴルフ場,〒028-3171　岩手県花巻市石鳥谷町中寺林7-2-12　道の駅石鳥谷内観光,道の駅「石鳥谷」の敷地内にある、木々に囲まれた緑いっぱいのコースでは、子供から大人までのびのびとパークゴルフをプレーすることができます。（用具貸し出し無料）　行楽やドライブの休憩に、職場や友人の交流や親睦に、手頃なレジャースポットとして、お気軽にご利用ください。
鉛温泉スキー場,〒025-0252　岩手県花巻市鉛字中平36-1観光,全部で6コースのゲレンデは、初心者から上級者までどなたでも楽しむことができます。スノーボード、ナイタースキーもＯＫ。汗をかいた後は隣接する鉛温泉の湯ですっきりしよう。
神楽の館,岩手県花巻市大迫町内川目第３９地割３７〜２,神楽の日には神楽団体による演舞が行われ、早池峰神楽を間近に見ることが出来る。
高村光太郎詩碑,〒025-0037　岩手県花巻市太田3-91-3観光,山荘で初めて迎えた冬に生まれた作品「雪白く積めり」の詩碑が昭和３３年に山荘のそばに建てられた。ハンノキ林の中に建詩碑の碑文は，詩集「典型」の冒頭に収められている詩である。
大迫九の市,〒028-3203　岩手県花巻市大迫町大迫観光,岩手県で最古の市
光徳寺,岩手県花巻市南川原町９５観光,弘安元年（1278）親鸞の直弟子是信房の教化を受けた信覚が太田折居に草庵を建て、寛正2年（1461）根子村に移り天正19年（1591）里川口に移り文政3年（1820）現在地に移る。
雄山寺,岩手県花巻市愛宕町1-25観光,永禄元年（1558）開基。花巻開町の祖　北信愛（松斎）公の寺。なお、この寺には北松斎自筆写本及び古文書などの遺品を所有している。
勝行院,〒025-0086　岩手県花巻市鍛治町8-15観光,重文の木造漆箔，室町時代の阿弥陀如来像がある。
鳥谷崎神社,〒025-0076　岩手県花巻市城内7-28観光,勧請・創立は不詳であるが、正和2年（１３１３年）に再建。祭日は毎年９月１７〜１９日。
エーデルワイン　工場見学コース,〒028-3203　岩手県花巻市大迫町大迫10-18-3観光,すべての基本情報を見る
花巻市総合文化財センター,〒028-3203　岩手県花巻市大迫町大迫3-39-1観光,展示室では、早池峰の自然・文化・歴史・人などを４つのテーマにまとめ。映像や模型・写真などを使って分かりやすく説明しています。　また、発掘調査によって出土した土器や石器の整理作業や出土品保管の様子を見ることができる他、まが玉作りや火おこしなどの体験学習も可能。各県の発掘調査報告書や山岳博物館に寄贈された貴重な山岳図書類もあり、希望者は閲覧することが可能です。
同心屋敷,〒025-0084　岩手県花巻市桜町4丁目83-5観光,花巻同心組３０人が居住した所。下級武士の生活を伝える。１９８０年２棟を移転・改修した。
ハヤチネウスユキソウ,〒028-3201　岩手県花巻市内川目観光,早池峰山の象徴ともいうべき、この山の固有種。花期は7月から8月。白毛で白く見える葉を薄く積もった雪にたとえて「薄雪草」と名付けられた。
花輪堤花菖蒲群落,〒025-0002　岩手県花巻市西宮野目観光,国指定天然記念物，本州北限の代表的群生地
花巻文化村,〒025-0004　岩手県花巻市葛 8-283-1観光,花巻空港北側に位置し、芸術家の創作活動を支援し、交流を通して地域の人々の文化意識を高めることを目的とした「青雲塾」をはじめ、子供たちの自由な発想と創造力を高める「次世代セミナー（自由教室）」を開催しています。詳細については要問合せ。また、運営しているのは花巻文化村協議会で平成１１年に岩手県で第１号となるＮＰＯ法人に認証されています。
いわて花巻空港案内所,〒025-0003　岩手県花巻市東宮野目2-53 いわて花巻空港内観光,観光案内、宿泊施設の紹介、レンタカー　等
盛栄堂及源鋳造,〒023-0132　岩手県奥州市水沢区羽田町堀ノ内45観光,広いスペースのショールームには、風鈴、鍋、鉄瓶等多くの南部鉄器を展示・販売しています。大型バス等の受入も万全です。
宝生堂・及富,〒023-0105　岩手県奥州市水沢区羽田町宝生57観光,南部鉄器の元祖店。2階の資料館には鉄びんや茶釜の下絵，道具のほか，製造工程のパネルが飾られている。1階は売店でおみやげ選びに最適。隣接する工場で見学もできる。
ニッポンレンタカー　水沢江刺駅前店,〒023-0104　岩手県奥州市 水沢区羽田町駅前１−４０観光,すべての基本情報を見る
トヨタレンタリース岩手　水沢店,〒023-0828　岩手県奥州市水沢区東大通り2-2-14観光,すべての基本情報を見る
駅レンタカー水沢江刺営業所,〒023-0104　岩手県奥州市観光,駅構内１階観光案内所
水沢石田温泉,〒023-0073　岩手県奥州市水沢区字寺領35観光,神経痛・やけど・慢性皮膚病・慢性婦人病に効く。
道の駅みずさわ「フロール」,〒023-0831　岩手県奥州市水沢区姉体町字石川原51-3観光,すべての基本情報を見る
東光庵,〒023-0101　岩手県奥州市水沢区黒石町字山内15-5観光,黒石寺無料休憩施設。窓ごしに竹林が一望でき、観光・物産の販売コーナーがある。特製の手打ちそばも好評。
月江庵,〒023-0101　岩手県奥州市水沢区黒石町字正法寺58-2観光,正法寺無料休憩施設。正法寺の歴史や伝説などの資料を展示。観光、物産の販売コーナーのほか、そば処もある。
めんこい美術館,〒023-0003　岩手県奥州市水沢区佐倉河字東広町1-4観光,世界のアゲハチョウ約500点と水沢出身でパステル画の巨匠・佐々木精次郎展が常設展示されている。また、市民芸術家の発表の場としても活用されている。
